transaction_id,date,account,description_raw,amount,txn_type,merchant,category,month,day_of_week,is_expense,is_income
TXN1057,2026-02-06,Checking ...4821,WHOLE FOODS MARKET,-58.18,Purchase,Whole Foods Market,Food and Restaurants,2026-02,Friday,True,False
TXN1058,2026-02-06,Checking ...4821,CHICK-FIL-A #356,-9.48,Purchase,Chick-fil-A,Food and Restaurants,2026-02,Friday,True,False
TXN1071,2026-02-06,Checking ...4821,ACME CORP DIRECT DEP,2058.19,Deposit,Acme Corp Payroll,Income,2026-02,Friday,False,True
TXN1043,2026-02-07,Checking ...4821,SQ *STARBUCKS #619 SEATTLE WA,-5.5,Purchase,Starbucks,Food and Restaurants,2026-02,Saturday,True,False
TXN1059,2026-02-07,Credit Card ...9033,CHICK-FIL-A #557,-11.49,Purchase,Chick-fil-A,Food and Restaurants,2026-02,Saturday,True,False
TXN1014,2026-02-07,Credit Card ...9033,COMCAST CABLE COMM,-79.99,Payment,Comcast Xfinity,Bills,2026-02,Saturday,True,False
TXN1064,2026-02-09,Credit Card ...9033,TRADER JOES 472,-67.67,Purchase,Trader Joe's,Food and Restaurants,2026-02,Monday,True,False
TXN1056,2026-02-09,Checking ...4821,THE LOCAL DINER,-22.38,Purchase,Local Diner,Food and Restaurants,2026-02,Monday,True,False
TXN1065,2026-02-10,Credit Card ...9033,OLD NAVY #101,-35.69,Purchase,Old Navy,Shopping,2026-02,Tuesday,True,False
TXN1001,2026-02-11,Checking ...4821,SKYLINE APARTMENTS RENT,-1450.0,Payment,Skyline Apartments,Rent and Housing,2026-02,Wednesday,True,False
TXN1033,2026-02-11,Checking ...4821,THE LOCAL DINER,-15.08,Purchase,Local Diner,Food and Restaurants,2026-02,Wednesday,True,False
TXN1039,2026-02-11,Checking ...4821,PARKWHIZ 954,-9.52,Purchase,ParkWhiz,Transportation,2026-02,Wednesday,True,False
TXN1029,2026-02-12,Credit Card ...9033,WHOLE FOODS MARKET,-128.83,Purchase,Whole Foods Market,Food and Restaurants,2026-02,Thursday,True,False
TXN1032,2026-02-12,Checking ...4821,CHEVRON/TEXACO 473,-42.31,Purchase,Chevron,Transportation,2026-02,Thursday,True,False
TXN1010,2026-02-12,Checking ...4821,DISNEYPLUS.COM,-13.99,Payment,Disney Plus,Subscriptions,2026-02,Thursday,True,False
TXN1003,2026-02-13,Checking ...4821,CITY TRANSIT AUTHORITY,-60.0,Payment,City Transit Authority,Transportation,2026-02,Friday,True,False
TXN1060,2026-02-13,Checking ...4821,UBER *TRIP HELP.UBER.COM,-31.29,Purchase,Uber,Transportation,2026-02,Friday,True,False
TXN1049,2026-02-13,Checking ...4821,COURSERA 465,-49.0,Purchase,Coursera,Education,2026-02,Friday,True,False
TXN1034,2026-02-13,Credit Card ...9033,MCDONALD'S F589,-12.2,Purchase,McDonald's,Food and Restaurants,2026-02,Friday,True,False
TXN1025,2026-02-13,Credit Card ...9033,TRADER JOES 455,-43.88,Purchase,Trader Joe's,Food and Restaurants,2026-02,Friday,True,False
TXN1067,2026-02-13,Checking ...4821,LYFT   RIDE TUE,-9.54,Purchase,Lyft,Transportation,2026-02,Friday,True,False
TXN1017,2026-02-14,Credit Card ...9033,FEDLOAN SERVICING,-210.0,Payment,Federal Student Loan Servicer,Education,2026-02,Saturday,True,False
TXN1040,2026-02-15,Checking ...4821,UBER EATS 946,-31.89,Purchase,Uber Eats,Food and Restaurants,2026-02,Sunday,True,False
TXN1041,2026-02-15,Checking ...4821,SQ*STARBUCKS COFFEE,-7.74,Purchase,Starbucks,Food and Restaurants,2026-02,Sunday,True,False
TXN1044,2026-02-15,Credit Card ...9033,NIKE.COM 809,-77.45,Purchase,Nike,Shopping,2026-02,Sunday,True,False
TXN1026,2026-02-15,Checking ...4821,TARGET.COM *187,-80.05,Purchase,Target,Shopping,2026-02,Sunday,True,False
TXN1018,2026-02-15,Credit Card ...9033,CHIPOTLE MEXICAN GRILL,-12.21,Purchase,Chipotle,Food and Restaurants,2026-02,Sunday,True,False
TXN1046,2026-02-15,Checking ...4821,MCDONALD'S F538,-8.56,Purchase,McDonald's,Food and Restaurants,2026-02,Sunday,True,False
TXN1072,2026-02-16,Checking ...4821,ACME CORP DIRECT DEP,2016.93,Deposit,Acme Corp Payroll,Income,2026-02,Monday,False,True
TXN1027,2026-02-16,Checking ...4821,AUTOZONE #628,-78.82,Purchase,AutoZone,Transportation,2026-02,Monday,True,False
TXN1053,2026-02-17,Checking ...4821,UBER *TRIP HELP.UBER.COM,-21.78,Purchase,Uber,Transportation,2026-02,Tuesday,True,False
TXN1073,2026-02-17,Checking ...4821,VENMO   TRANSFER IN,99.12,Transfer,Venmo Transfer,Transfer,2026-02,Tuesday,False,False
TXN1013,2026-02-17,Credit Card ...9033,METRO WATER 170,-45.82,Payment,Metro Water Utility,Bills,2026-02,Tuesday,True,False
TXN1031,2026-02-17,Credit Card ...9033,TRADER JOE S #128,-71.42,Purchase,Trader Joe's,Food and Restaurants,2026-02,Tuesday,True,False
TXN1045,2026-02-17,Credit Card ...9033,AMZN MKTP US*672,-174.88,Purchase,Amazon,Shopping,2026-02,Tuesday,True,False
TXN1008,2026-02-18,Checking ...4821,ANYTIMEFIT MEMBERSHIP,-39.99,Payment,Anytime Fitness,Subscriptions,2026-02,Wednesday,True,False
TXN1037,2026-02-18,Checking ...4821,DOORDASH*114,-33.13,Purchase,DoorDash,Food and Restaurants,2026-02,Wednesday,True,False
TXN1050,2026-02-18,Credit Card ...9033,SQ*STARBUCKS COFFEE,-6.31,Purchase,Starbucks,Food and Restaurants,2026-02,Wednesday,True,False
TXN1011,2026-02-19,Checking ...4821,YOUTUBEPREMIUM,-13.99,Payment,YouTube Premium,Subscriptions,2026-02,Thursday,True,False
TXN1021,2026-02-20,Credit Card ...9033,UBER   TRIP 807,-21.68,Purchase,Uber,Transportation,2026-02,Friday,True,False
TXN1066,2026-02-21,Checking ...4821,WHOLEFDS MKT #193,-58.1,Purchase,Whole Foods Market,Food and Restaurants,2026-02,Saturday,True,False
TXN1062,2026-02-21,Checking ...4821,STARBUCKS #541,-7.58,Purchase,Starbucks,Food and Restaurants,2026-02,Saturday,True,False
TXN1069,2026-02-21,Checking ...4821,AUTOZONE INC,-26.15,Purchase,AutoZone,Transportation,2026-02,Saturday,True,False
TXN1004,2026-02-21,Credit Card ...9033,NETFLIX.COM,-15.49,Payment,Netflix,Subscriptions,2026-02,Saturday,True,False
TXN1019,2026-02-22,Checking ...4821,ENTERPRISE RENT-A-CAR,-200.89,Purchase,Enterprise Rent-A-Car,Travel,2026-02,Sunday,True,False
TXN1070,2026-02-23,Checking ...4821,LYFT *RIDE 187,-22.35,Purchase,Lyft,Transportation,2026-02,Monday,True,False
TXN1061,2026-02-23,Checking ...4821,TARGET      #514,-111.11,Purchase,Target,Shopping,2026-02,Monday,True,False
TXN1047,2026-02-25,Checking ...4821,PARKWHIZ 246,-7.89,Purchase,ParkWhiz,Transportation,2026-02,Wednesday,True,False
TXN1052,2026-02-25,Credit Card ...9033,SQ *STARBUCKS #939 SEATTLE WA,-5.07,Purchase,Starbucks,Food and Restaurants,2026-02,Wednesday,True,False
TXN1068,2026-02-25,Credit Card ...9033,CHICKFILA 882,-8.53,Purchase,Chick-fil-A,Food and Restaurants,2026-02,Wednesday,True,False
TXN1035,2026-02-26,Checking ...4821,DD *DOORDASH,-44.47,Purchase,DoorDash,Food and Restaurants,2026-02,Thursday,True,False
TXN1030,2026-02-26,Credit Card ...9033,LYFT *RIDE 925,-28.21,Purchase,Lyft,Transportation,2026-02,Thursday,True,False
TXN1074,2026-02-26,Credit Card ...9033,MISC MERCHANT 4846,-47.33,Purchase,Unknown Merchant,Uncategorized,2026-02,Thursday,True,False
TXN1038,2026-02-27,Credit Card ...9033,WAL-MART #357,-106.76,Purchase,Walmart,Shopping,2026-02,Friday,True,False
TXN1007,2026-02-27,Credit Card ...9033,ADOBE  *CREATIVE CLOUD,-54.99,Payment,Adobe Creative Cloud,Subscriptions,2026-02,Friday,True,False
TXN1063,2026-02-28,Credit Card ...9033,TARGET.COM *713,-83.24,Purchase,Target,Shopping,2026-02,Saturday,True,False
TXN1022,2026-02-28,Credit Card ...9033,PARKWHIZ 507,-16.05,Purchase,ParkWhiz,Transportation,2026-02,Saturday,True,False
TXN1134,2026-03-02,Checking ...4821,NIKE.COM 222,-140.84,Purchase,Nike,Shopping,2026-03,Monday,True,False
TXN1121,2026-03-02,Credit Card ...9033,AMAZON.COM*720 AMZN.COM/BILL WA,-56.46,Purchase,Amazon,Shopping,2026-03,Monday,True,False
TXN1079,2026-03-02,Credit Card ...9033,SPOTIFY USA,-11.99,Payment,Spotify,Subscriptions,2026-03,Monday,True,False
TXN1089,2026-03-02,Checking ...4821,VERIZON WIRELESS PMT,-85.0,Payment,Verizon Wireless,Bills,2026-03,Monday,True,False
TXN1086,2026-03-02,Checking ...4821,PACIFIC POWER 515,-143.8,Payment,Unknown Merchant,Uncategorized,2026-03,Monday,True,False
TXN1110,2026-03-02,Checking ...4821,TRADER JOES 471,-87.67,Purchase,Trader Joe's,Food and Restaurants,2026-03,Monday,True,False
TXN1137,2026-03-02,Checking ...4821,DD *DOORDASH,-23.31,Purchase,DoorDash,Food and Restaurants,2026-03,Monday,True,False
TXN1142,2026-03-02,Credit Card ...9033,DEBIT CARD PURCHASE,-8.95,Purchase,Unknown Merchant,Uncategorized,2026-03,Monday,True,False
TXN1105,2026-03-02,Credit Card ...9033,TRADER JOES 231,-83.64,Purchase,Trader Joe's,Food and Restaurants,2026-03,Monday,True,False
TXN1127,2026-03-03,Checking ...4821,WHOLE FOODS MARKET,-102.95,Purchase,Whole Foods Market,Food and Restaurants,2026-03,Tuesday,True,False
TXN1106,2026-03-03,Checking ...4821,CHIPOTLE ONLINE 497,-11.53,Purchase,Chipotle,Food and Restaurants,2026-03,Tuesday,True,False
TXN1090,2026-03-03,Checking ...4821,STATEFARM 873,-120.0,Payment,State Farm Insurance,Bills,2026-03,Tuesday,True,False
TXN1080,2026-03-03,Credit Card ...9033,AMAZON PRIME*575,-14.99,Payment,Amazon Prime,Subscriptions,2026-03,Tuesday,True,False
TXN1128,2026-03-03,Credit Card ...9033,BEST BUY #313,-113.74,Purchase,Best Buy,Shopping,2026-03,Tuesday,True,False
TXN1096,2026-03-04,Credit Card ...9033,CHEVRON 176,-33.35,Purchase,Chevron,Transportation,2026-03,Wednesday,True,False
TXN1083,2026-03-04,Checking ...4821,APPLE.COM/BILL,-2.99,Payment,iCloud Storage,Subscriptions,2026-03,Wednesday,True,False
TXN1117,2026-03-04,Credit Card ...9033,LOCAL DINER #182,-11.55,Purchase,Local Diner,Food and Restaurants,2026-03,Wednesday,True,False
TXN1076,2026-03-05,Checking ...4821,RENTERSINS CO 885,-18.4,Payment,Renters Insurance Co,Rent and Housing,2026-03,Thursday,True,False
TXN1132,2026-03-07,Checking ...4821,BESTBUY.COM 357,-134.32,Purchase,Best Buy,Shopping,2026-03,Saturday,True,False
TXN1135,2026-03-07,Credit Card ...9033,TARGET.COM *624,-136.27,Purchase,Target,Shopping,2026-03,Saturday,True,False
TXN1131,2026-03-07,Checking ...4821,AUTOZONE #351,-48.83,Purchase,AutoZone,Transportation,2026-03,Saturday,True,False
TXN1138,2026-03-07,Checking ...4821,ACME CORP PAYROLL DEP,2066.94,Deposit,Acme Corp Payroll,Income,2026-03,Saturday,False,True
TXN1088,2026-03-07,Credit Card ...9033,COMCAST CABLE COMM,-79.99,Payment,Comcast Xfinity,Bills,2026-03,Saturday,True,False
TXN1119,2026-03-07,Credit Card ...9033,CHEVRON/TEXACO 297,-39.93,Purchase,Chevron,Transportation,2026-03,Saturday,True,False
TXN1108,2026-03-08,Checking ...4821,TRADER JOES 821,-34.34,Purchase,Trader Joe's,Food and Restaurants,2026-03,Sunday,True,False
TXN1095,2026-03-10,Credit Card ...9033,DD *DOORDASH,-24.79,Purchase,DoorDash,Food and Restaurants,2026-03,Tuesday,True,False
TXN1092,2026-03-11,Checking ...4821,LOCAL DINER #903,-14.82,Purchase,Local Diner,Food and Restaurants,2026-03,Wednesday,True,False
TXN1075,2026-03-11,Checking ...4821,SKYLINE APARTMENTS RENT,-1450.0,Payment,Skyline Apartments,Rent and Housing,2026-03,Wednesday,True,False
TXN1097,2026-03-11,Checking ...4821,LOCAL DINER #537,-28.94,Purchase,Local Diner,Food and Restaurants,2026-03,Wednesday,True,False
TXN1084,2026-03-12,Credit Card ...9033,DISNEYPLUS.COM,-13.99,Payment,Disney Plus,Subscriptions,2026-03,Thursday,True,False
TXN1126,2026-03-12,Credit Card ...9033,DOORDASH*624,-39.84,Purchase,DoorDash,Food and Restaurants,2026-03,Thursday,True,False
TXN1101,2026-03-13,Checking ...4821,WHOLE FOODS MARKET,-102.58,Purchase,Whole Foods Market,Food and Restaurants,2026-03,Friday,True,False
TXN1077,2026-03-13,Credit Card ...9033,CITY TRANSIT AUTHORITY,-60.0,Payment,City Transit Authority,Transportation,2026-03,Friday,True,False
TXN1140,2026-03-13,Checking ...4821,VENMO   TRANSFER IN,96.7,Transfer,Venmo Transfer,Transfer,2026-03,Friday,False,False
TXN1114,2026-03-14,Credit Card ...9033,LYFT *RIDE 288,-10.11,Purchase,Lyft,Transportation,2026-03,Saturday,True,False
TXN1099,2026-03-14,Credit Card ...9033,AUTOZONE #485,-44.48,Purchase,AutoZone,Transportation,2026-03,Saturday,True,False
TXN1091,2026-03-14,Checking ...4821,FED STUDENT LOAN SVC,-210.0,Payment,Federal Student Loan Servicer,Education,2026-03,Saturday,True,False
TXN1112,2026-03-15,Checking ...4821,TRADER JOES 211,-49.72,Purchase,Trader Joe's,Food and Restaurants,2026-03,Sunday,True,False
TXN1129,2026-03-15,Checking ...4821,AUTOZONE #526,-28.34,Purchase,AutoZone,Transportation,2026-03,Sunday,True,False
TXN1133,2026-03-15,Checking ...4821,CHIPOTLE ONLINE 104,-16.19,Purchase,Chipotle,Food and Restaurants,2026-03,Sunday,True,False
TXN1451,2026-03-17,Credit Card ...9033,BESTBUY.COM 199,-1249.0,Purchase,Best Buy,Shopping,2026-03,Tuesday,True,False
TXN1103,2026-03-17,Checking ...4821,NIKE STORE #354,-138.38,Purchase,Nike,Shopping,2026-03,Tuesday,True,False
TXN1087,2026-03-17,Credit Card ...9033,METRO WATER 101,-32.51,Payment,Metro Water Utility,Bills,2026-03,Tuesday,True,False
TXN1098,2026-03-18,Checking ...4821,MCDONALD'S F477,-6.81,Purchase,McDonald's,Food and Restaurants,2026-03,Wednesday,True,False
TXN1093,2026-03-18,Credit Card ...9033,SHELL OIL 150,-49.22,Purchase,Shell Gas Station,Transportation,2026-03,Wednesday,True,False
TXN1107,2026-03-18,Checking ...4821,STARBUCKS #385,-5.61,Purchase,Starbucks,Food and Restaurants,2026-03,Wednesday,True,False
TXN1082,2026-03-18,Credit Card ...9033,ANYTIMEFIT MEMBERSHIP,-39.99,Payment,Anytime Fitness,Subscriptions,2026-03,Wednesday,True,False
TXN1100,2026-03-19,Checking ...4821,CHICK-FIL-A #803,-15.23,Purchase,Chick-fil-A,Food and Restaurants,2026-03,Thursday,True,False
TXN1085,2026-03-19,Credit Card ...9033,GOOGLE *YOUTUBE PREM,-13.99,Payment,YouTube Premium,Subscriptions,2026-03,Thursday,True,False
TXN1122,2026-03-20,Checking ...4821,OLDNAVY.COM,-23.14,Purchase,Old Navy,Shopping,2026-03,Friday,True,False
TXN1120,2026-03-21,Checking ...4821,CHICKFILA 141,-10.64,Purchase,Chick-fil-A,Food and Restaurants,2026-03,Saturday,True,False
TXN1078,2026-03-21,Checking ...4821,NETFLIX.COM,-15.49,Payment,Netflix,Subscriptions,2026-03,Saturday,True,False
TXN1130,2026-03-22,Credit Card ...9033,TARGET.COM *400,-114.95,Purchase,Target,Shopping,2026-03,Sunday,True,False
TXN1136,2026-03-22,Checking ...4821,PARKWHIZ *PARKING,-20.16,Purchase,ParkWhiz,Transportation,2026-03,Sunday,True,False
TXN1109,2026-03-22,Credit Card ...9033,CHICK-FIL-A #363,-12.59,Purchase,Chick-fil-A,Food and Restaurants,2026-03,Sunday,True,False
TXN1104,2026-03-22,Checking ...4821,CHICKFILA 187,-8.15,Purchase,Chick-fil-A,Food and Restaurants,2026-03,Sunday,True,False
TXN1113,2026-03-22,Checking ...4821,CHICK-FIL-A #502,-7.72,Purchase,Chick-fil-A,Food and Restaurants,2026-03,Sunday,True,False
TXN1141,2026-03-23,Credit Card ...9033,AMAZON.COM REFUND,59.41,Refund,Amazon,Shopping,2026-03,Monday,False,False
TXN1115,2026-03-24,Checking ...4821,BEST BUY #269,-62.92,Purchase,Best Buy,Shopping,2026-03,Tuesday,True,False
TXN1116,2026-03-24,Credit Card ...9033,NIKE STORE #780,-93.78,Purchase,Nike,Shopping,2026-03,Tuesday,True,False
TXN1118,2026-03-25,Credit Card ...9033,MCDONALDS #887,-7.72,Purchase,McDonald's,Food and Restaurants,2026-03,Wednesday,True,False
TXN1139,2026-03-25,Checking ...4821,ACME CORP DIRECT DEP,2056.73,Deposit,Acme Corp Payroll,Income,2026-03,Wednesday,False,True
TXN1124,2026-03-25,Checking ...4821,OLDNAVY.COM,-47.83,Purchase,Old Navy,Shopping,2026-03,Wednesday,True,False
TXN1123,2026-03-26,Checking ...4821,LYFT *RIDE 124,-21.4,Purchase,Lyft,Transportation,2026-03,Thursday,True,False
TXN1125,2026-03-26,Checking ...4821,TRADER JOES 942,-106.48,Purchase,Trader Joe's,Food and Restaurants,2026-03,Thursday,True,False
TXN1102,2026-03-26,Credit Card ...9033,AUTOZONE INC,-51.44,Purchase,AutoZone,Transportation,2026-03,Thursday,True,False
TXN1081,2026-03-27,Credit Card ...9033,ADOBE  *CREATIVE CLOUD,-54.99,Payment,Adobe Creative Cloud,Subscriptions,2026-03,Friday,True,False
TXN1111,2026-03-28,Credit Card ...9033,WHOLEFDS MKT #607,-88.49,Purchase,Whole Foods Market,Food and Restaurants,2026-03,Saturday,True,False
TXN1094,2026-03-28,Checking ...4821,MCDONALD'S F663,-8.33,Purchase,McDonald's,Food and Restaurants,2026-03,Saturday,True,False
TXN1172,2026-04-01,Credit Card ...9033,SHELL SERVICE STATION,-31.9,Purchase,Shell Gas Station,Transportation,2026-04,Wednesday,True,False
TXN1154,2026-04-02,Credit Card ...9033,PACIFIC PWR ELEC BILL,-145.54,Payment,Pacific Power Electric,Bills,2026-04,Thursday,True,False
TXN1147,2026-04-02,Checking ...4821,SPOTIFY   P191,-11.99,Payment,Spotify,Subscriptions,2026-04,Thursday,True,False
TXN1189,2026-04-02,Credit Card ...9033,TRADER JOE S #944,-34.75,Purchase,Trader Joe's,Food and Restaurants,2026-04,Thursday,True,False
TXN1177,2026-04-02,Checking ...4821,WHOLEFDS MKT #112,-129.17,Purchase,Whole Foods Market,Food and Restaurants,2026-04,Thursday,True,False
TXN1157,2026-04-02,Credit Card ...9033,VERIZON WIRELESS PMT,-85.0,Payment,Verizon Wireless,Bills,2026-04,Thursday,True,False
TXN1158,2026-04-03,Checking ...4821,STATEFARM 881,-120.0,Payment,State Farm Insurance,Bills,2026-04,Friday,True,False
TXN1148,2026-04-03,Checking ...4821,AMAZON PRIME*265,-14.99,Payment,Amazon Prime,Subscriptions,2026-04,Friday,True,False
TXN1151,2026-04-04,Checking ...4821,ICLOUD STORAGE,-2.99,Payment,iCloud Storage,Subscriptions,2026-04,Saturday,True,False
TXN1186,2026-04-04,Checking ...4821,SQ *STARBUCKS #453 SEATTLE WA,-7.05,Purchase,Starbucks,Food and Restaurants,2026-04,Saturday,True,False
TXN1144,2026-04-05,Checking ...4821,RENTERS INS PREMIUM,-18.4,Payment,Renters Insurance Co,Rent and Housing,2026-04,Sunday,True,False
TXN1200,2026-04-05,Checking ...4821,DD *DOORDASH,-42.24,Purchase,DoorDash,Food and Restaurants,2026-04,Sunday,True,False
TXN1209,2026-04-06,Checking ...4821,ACME CORP DIRECT DEP,2013.94,Deposit,Acme Corp Payroll,Income,2026-04,Monday,False,True
TXN1180,2026-04-06,Checking ...4821,SHELL OIL 367,-37.91,Purchase,Shell Gas Station,Transportation,2026-04,Monday,True,False
TXN1213,2026-04-06,Credit Card ...9033,MISC MERCHANT 2656,-31.75,Purchase,Unknown Merchant,Uncategorized,2026-04,Monday,True,False
TXN1156,2026-04-07,Credit Card ...9033,XFINITY 498,-79.99,Payment,Comcast Xfinity,Bills,2026-04,Tuesday,True,False
TXN1204,2026-04-07,Credit Card ...9033,SHELL OIL 913,-43.45,Purchase,Shell Gas Station,Transportation,2026-04,Tuesday,True,False
TXN1188,2026-04-07,Checking ...4821,PARKWHIZ *PARKING,-18.17,Purchase,ParkWhiz,Transportation,2026-04,Tuesday,True,False
TXN1174,2026-04-08,Checking ...4821,NIKE STORE #198,-121.36,Purchase,Nike,Shopping,2026-04,Wednesday,True,False
TXN1201,2026-04-09,Checking ...4821,CHEVRON 442,-46.53,Purchase,Chevron,Transportation,2026-04,Thursday,True,False
TXN1166,2026-04-09,Checking ...4821,SHELL SERVICE STATION,-53.79,Purchase,Shell Gas Station,Transportation,2026-04,Thursday,True,False
TXN1164,2026-04-09,Credit Card ...9033,BESTBUY.COM 247,-328.2,Purchase,Best Buy,Shopping,2026-04,Thursday,True,False
TXN1183,2026-04-09,Credit Card ...9033,SQ*STARBUCKS COFFEE,-8.32,Purchase,Starbucks,Food and Restaurants,2026-04,Thursday,True,False
TXN1173,2026-04-10,Checking ...4821,THE LOCAL DINER,-21.81,Purchase,Local Diner,Food and Restaurants,2026-04,Friday,True,False
TXN1194,2026-04-10,Credit Card ...9033,CHICK-FIL-A #104,-13.54,Purchase,Chick-fil-A,Food and Restaurants,2026-04,Friday,True,False
TXN1191,2026-04-10,Credit Card ...9033,DD *DOORDASH,-18.88,Purchase,DoorDash,Food and Restaurants,2026-04,Friday,True,False
TXN1143,2026-04-11,Credit Card ...9033,SKYLINE APARTMENTS RENT,-1450.0,Payment,Skyline Apartments,Rent and Housing,2026-04,Saturday,True,False
TXN1212,2026-04-11,Credit Card ...9033,POS PURCHASE,-9.98,Purchase,Unknown Merchant,Uncategorized,2026-04,Saturday,True,False
TXN1203,2026-04-12,Checking ...4821,LYFT   RIDE TUE,-12.22,Purchase,Lyft,Transportation,2026-04,Sunday,True,False
TXN1152,2026-04-12,Checking ...4821,DISNEY PLUS,-13.99,Payment,Disney Plus,Subscriptions,2026-04,Sunday,True,False
TXN1145,2026-04-13,Credit Card ...9033,CITY TRANSIT AUTHORITY,-60.0,Payment,City Transit Authority,Transportation,2026-04,Monday,True,False
TXN1168,2026-04-13,Credit Card ...9033,SHELL SERVICE STATION,-55.83,Purchase,Shell Gas Station,Transportation,2026-04,Monday,True,False
TXN1175,2026-04-13,Credit Card ...9033,PARKWHIZ *PARKING,-18.08,Purchase,ParkWhiz,Transportation,2026-04,Monday,True,False
TXN1192,2026-04-14,Credit Card ...9033,SQ*STARBUCKS COFFEE,-4.39,Purchase,Starbucks,Food and Restaurants,2026-04,Tuesday,True,False
TXN1159,2026-04-14,Checking ...4821,FEDLOAN SERVICING,-210.0,Payment,Federal Student Loan Servicer,Education,2026-04,Tuesday,True,False
TXN1160,2026-04-15,Checking ...4821,CHIPOTLE ONLINE 141,-12.9,Purchase,Chipotle,Food and Restaurants,2026-04,Wednesday,True,False
TXN1197,2026-04-16,Credit Card ...9033,PARKWHIZ *PARKING,-17.71,Purchase,ParkWhiz,Transportation,2026-04,Thursday,True,False
TXN1176,2026-04-16,Checking ...4821,CHICK-FIL-A #145,-9.3,Purchase,Chick-fil-A,Food and Restaurants,2026-04,Thursday,True,False
TXN1155,2026-04-17,Credit Card ...9033,METRO WATER 764,-44.95,Payment,Metro Water Utility,Bills,2026-04,Friday,True,False
TXN1165,2026-04-17,Checking ...4821,WHOLE FOODS MARKET,-61.74,Purchase,Whole Foods Market,Food and Restaurants,2026-04,Friday,True,False
TXN1199,2026-04-17,Checking ...4821,BEST BUY #571,-82.32,Purchase,Best Buy,Shopping,2026-04,Friday,True,False
TXN1150,2026-04-18,Checking ...4821,ANYTIME FITNESS #594,-39.99,Payment,Anytime Fitness,Subscriptions,2026-04,Saturday,True,False
TXN1193,2026-04-19,Checking ...4821,SQ *STARBUCKS #688 SEATTLE WA,-5.22,Purchase,Starbucks,Food and Restaurants,2026-04,Sunday,True,False
TXN1210,2026-04-19,Checking ...4821,ACME CORP DIRECT DEP,2098.92,Deposit,Acme Corp Payroll,Income,2026-04,Sunday,False,True
TXN1153,2026-04-19,Credit Card ...9033,YOUTUBEPREMIUM,-13.99,Payment,YouTube Premium,Subscriptions,2026-04,Sunday,True,False
TXN1185,2026-04-19,Checking ...4821,AUTOZONE #500,-83.13,Purchase,AutoZone,Transportation,2026-04,Sunday,True,False
TXN1454,2026-04-20,Checking ...4821,MARRIOTT 688,-540.0,Purchase,Marriott Hotels,Travel,2026-04,Monday,True,False
TXN1162,2026-04-20,Credit Card ...9033,CHIPOTLE ONLINE 298,-14.44,Purchase,Chipotle,Food and Restaurants,2026-04,Monday,True,False
