transaction_id,date,account_id,merchant_id,description_raw,amount,txn_type
TXN1008,2026-02-18,1,38,ANYTIMEFIT MEMBERSHIP,-39.99,Payment
TXN1037,2026-02-18,1,7,DOORDASH*114,-33.13,Purchase
TXN1050,2026-02-18,2,1,SQ*STARBUCKS COFFEE,-6.31,Purchase
TXN1011,2026-02-19,1,39,YOUTUBEPREMIUM,-13.99,Payment
TXN1021,2026-02-20,2,26,UBER   TRIP 807,-21.68,Purchase
TXN1066,2026-02-21,1,16,WHOLEFDS MKT #193,-58.1,Purchase
TXN1062,2026-02-21,1,1,STARBUCKS #541,-7.58,Purchase
TXN1069,2026-02-21,1,34,AUTOZONE INC,-26.15,Purchase
TXN1004,2026-02-21,2,40,NETFLIX.COM,-15.49,Payment
TXN1019,2026-02-22,1,41,ENTERPRISE RENT-A-CAR,-200.89,Purchase
TXN1070,2026-02-23,1,28,LYFT *RIDE 187,-22.35,Purchase
TXN1061,2026-02-23,1,32,TARGET      #514,-111.11,Purchase
TXN1047,2026-02-25,1,22,PARKWHIZ 246,-7.89,Purchase
TXN1052,2026-02-25,2,1,SQ *STARBUCKS #939 SEATTLE WA,-5.07,Purchase
TXN1068,2026-02-25,2,15,CHICKFILA 882,-8.53,Purchase
TXN1035,2026-02-26,1,7,DD *DOORDASH,-44.47,Purchase
TXN1030,2026-02-26,2,28,LYFT *RIDE 925,-28.21,Purchase
TXN1074,2026-02-26,2,42,MISC MERCHANT 4846,-47.33,Purchase
TXN1038,2026-02-27,2,11,WAL-MART #357,-106.76,Purchase
TXN1007,2026-02-27,2,43,ADOBE  *CREATIVE CLOUD,-54.99,Payment
TXN1063,2026-02-28,2,32,TARGET.COM *713,-83.24,Purchase
TXN1022,2026-02-28,2,22,PARKWHIZ 507,-16.05,Purchase
TXN1134,2026-03-02,1,31,NIKE.COM 222,-140.84,Purchase
TXN1121,2026-03-02,2,37,AMAZON.COM*720 AMZN.COM/BILL WA,-56.46,Purchase
TXN1079,2026-03-02,2,4,SPOTIFY USA,-11.99,Payment
TXN1089,2026-03-02,1,3,VERIZON WIRELESS PMT,-85.0,Payment
TXN1086,2026-03-02,1,42,PACIFIC POWER 515,-143.8,Payment
TXN1110,2026-03-02,1,6,TRADER JOES 471,-87.67,Purchase
TXN1137,2026-03-02,1,7,DD *DOORDASH,-23.31,Purchase
TXN1142,2026-03-02,2,42,DEBIT CARD PURCHASE,-8.95,Purchase
TXN1105,2026-03-02,2,6,TRADER JOES 231,-83.64,Purchase
TXN1127,2026-03-03,1,16,WHOLE FOODS MARKET,-102.95,Purchase
TXN1106,2026-03-03,1,33,CHIPOTLE ONLINE 497,-11.53,Purchase
TXN1090,2026-03-03,1,8,STATEFARM 873,-120.0,Payment
TXN1080,2026-03-03,2,10,AMAZON PRIME*575,-14.99,Payment
TXN1128,2026-03-03,2,44,BEST BUY #313,-113.74,Purchase
TXN1096,2026-03-04,2,23,CHEVRON 176,-33.35,Purchase
TXN1083,2026-03-04,1,12,APPLE.COM/BILL,-2.99,Payment
TXN1117,2026-03-04,2,19,LOCAL DINER #182,-11.55,Purchase
TXN1076,2026-03-05,1,13,RENTERSINS CO 885,-18.4,Payment
TXN1132,2026-03-07,1,44,BESTBUY.COM 357,-134.32,Purchase
TXN1135,2026-03-07,2,32,TARGET.COM *624,-136.27,Purchase
TXN1131,2026-03-07,1,34,AUTOZONE #351,-48.83,Purchase
TXN1138,2026-03-07,1,17,ACME CORP PAYROLL DEP,2066.94,Deposit
TXN1088,2026-03-07,2,18,COMCAST CABLE COMM,-79.99,Payment
TXN1119,2026-03-07,2,23,CHEVRON/TEXACO 297,-39.93,Purchase
TXN1108,2026-03-08,1,6,TRADER JOES 821,-34.34,Purchase
TXN1095,2026-03-10,2,7,DD *DOORDASH,-24.79,Purchase
TXN1092,2026-03-11,1,19,LOCAL DINER #903,-14.82,Purchase
TXN1075,2026-03-11,1,21,SKYLINE APARTMENTS RENT,-1450.0,Payment
TXN1097,2026-03-11,1,19,LOCAL DINER #537,-28.94,Purchase
TXN1084,2026-03-12,2,24,DISNEYPLUS.COM,-13.99,Payment
TXN1126,2026-03-12,2,7,DOORDASH*624,-39.84,Purchase
TXN1101,2026-03-13,1,16,WHOLE FOODS MARKET,-102.58,Purchase
TXN1077,2026-03-13,2,25,CITY TRANSIT AUTHORITY,-60.0,Payment
TXN1140,2026-03-13,1,35,VENMO   TRANSFER IN,96.7,Transfer
TXN1114,2026-03-14,2,28,LYFT *RIDE 288,-10.11,Purchase
TXN1099,2026-03-14,2,34,AUTOZONE #485,-44.48,Purchase
TXN1091,2026-03-14,1,29,FED STUDENT LOAN SVC,-210.0,Payment
TXN1112,2026-03-15,1,6,TRADER JOES 211,-49.72,Purchase
TXN1129,2026-03-15,1,34,AUTOZONE #526,-28.34,Purchase
TXN1133,2026-03-15,1,33,CHIPOTLE ONLINE 104,-16.19,Purchase
TXN1451,2026-03-17,2,44,BESTBUY.COM 199,-1249.0,Purchase
TXN1103,2026-03-17,1,31,NIKE STORE #354,-138.38,Purchase
TXN1087,2026-03-17,2,36,METRO WATER 101,-32.51,Payment
TXN1098,2026-03-18,1,14,MCDONALD'S F477,-6.81,Purchase
TXN1093,2026-03-18,2,2,SHELL OIL 150,-49.22,Purchase
TXN1107,2026-03-18,1,1,STARBUCKS #385,-5.61,Purchase
TXN1082,2026-03-18,2,38,ANYTIMEFIT MEMBERSHIP,-39.99,Payment
TXN1100,2026-03-19,1,15,CHICK-FIL-A #803,-15.23,Purchase
TXN1085,2026-03-19,2,39,GOOGLE *YOUTUBE PREM,-13.99,Payment
TXN1122,2026-03-20,1,20,OLDNAVY.COM,-23.14,Purchase
TXN1120,2026-03-21,1,15,CHICKFILA 141,-10.64,Purchase
TXN1078,2026-03-21,1,40,NETFLIX.COM,-15.49,Payment
TXN1130,2026-03-22,2,32,TARGET.COM *400,-114.95,Purchase
TXN1136,2026-03-22,1,22,PARKWHIZ *PARKING,-20.16,Purchase
TXN1109,2026-03-22,2,15,CHICK-FIL-A #363,-12.59,Purchase
TXN1104,2026-03-22,1,15,CHICKFILA 187,-8.15,Purchase
TXN1113,2026-03-22,1,15,CHICK-FIL-A #502,-7.72,Purchase
TXN1141,2026-03-23,2,37,AMAZON.COM REFUND,59.41,Refund
TXN1115,2026-03-24,1,44,BEST BUY #269,-62.92,Purchase
TXN1116,2026-03-24,2,31,NIKE STORE #780,-93.78,Purchase
TXN1118,2026-03-25,2,14,MCDONALDS #887,-7.72,Purchase
TXN1139,2026-03-25,1,17,ACME CORP DIRECT DEP,2056.73,Deposit
TXN1124,2026-03-25,1,20,OLDNAVY.COM,-47.83,Purchase
TXN1123,2026-03-26,1,28,LYFT *RIDE 124,-21.4,Purchase
TXN1125,2026-03-26,1,6,TRADER JOES 942,-106.48,Purchase
TXN1102,2026-03-26,2,34,AUTOZONE INC,-51.44,Purchase
TXN1081,2026-03-27,2,43,ADOBE  *CREATIVE CLOUD,-54.99,Payment
TXN1111,2026-03-28,2,16,WHOLEFDS MKT #607,-88.49,Purchase
TXN1094,2026-03-28,1,14,MCDONALD'S F663,-8.33,Purchase
TXN1172,2026-04-01,2,2,SHELL SERVICE STATION,-31.9,Purchase
TXN1154,2026-04-02,2,5,PACIFIC PWR ELEC BILL,-145.54,Payment
TXN1147,2026-04-02,1,4,SPOTIFY   P191,-11.99,Payment
TXN1189,2026-04-02,2,6,TRADER JOE S #944,-34.75,Purchase
TXN1177,2026-04-02,1,16,WHOLEFDS MKT #112,-129.17,Purchase
TXN1157,2026-04-02,2,3,VERIZON WIRELESS PMT,-85.0,Payment
TXN1158,2026-04-03,1,8,STATEFARM 881,-120.0,Payment
TXN1148,2026-04-03,1,10,AMAZON PRIME*265,-14.99,Payment
TXN1151,2026-04-04,1,12,ICLOUD STORAGE,-2.99,Payment
TXN1186,2026-04-04,1,1,SQ *STARBUCKS #453 SEATTLE WA,-7.05,Purchase
TXN1144,2026-04-05,1,13,RENTERS INS PREMIUM,-18.4,Payment
TXN1200,2026-04-05,1,7,DD *DOORDASH,-42.24,Purchase
TXN1209,2026-04-06,1,17,ACME CORP DIRECT DEP,2013.94,Deposit
TXN1180,2026-04-06,1,2,SHELL OIL 367,-37.91,Purchase
TXN1213,2026-04-06,2,42,MISC MERCHANT 2656,-31.75,Purchase
TXN1156,2026-04-07,2,18,XFINITY 498,-79.99,Payment
TXN1204,2026-04-07,2,2,SHELL OIL 913,-43.45,Purchase
TXN1188,2026-04-07,1,22,PARKWHIZ *PARKING,-18.17,Purchase
TXN1174,2026-04-08,1,31,NIKE STORE #198,-121.36,Purchase
TXN1201,2026-04-09,1,23,CHEVRON 442,-46.53,Purchase
TXN1166,2026-04-09,1,2,SHELL SERVICE STATION,-53.79,Purchase
TXN1164,2026-04-09,2,44,BESTBUY.COM 247,-328.2,Purchase
TXN1183,2026-04-09,2,1,SQ*STARBUCKS COFFEE,-8.32,Purchase
TXN1173,2026-04-10,1,19,THE LOCAL DINER,-21.81,Purchase
TXN1194,2026-04-10,2,15,CHICK-FIL-A #104,-13.54,Purchase
TXN1191,2026-04-10,2,7,DD *DOORDASH,-18.88,Purchase
TXN1143,2026-04-11,2,21,SKYLINE APARTMENTS RENT,-1450.0,Payment
TXN1212,2026-04-11,2,42,POS PURCHASE,-9.98,Purchase
TXN1203,2026-04-12,1,28,LYFT   RIDE TUE,-12.22,Purchase
TXN1152,2026-04-12,1,24,DISNEY PLUS,-13.99,Payment
TXN1145,2026-04-13,2,25,CITY TRANSIT AUTHORITY,-60.0,Payment
TXN1168,2026-04-13,2,2,SHELL SERVICE STATION,-55.83,Purchase
TXN1175,2026-04-13,2,22,PARKWHIZ *PARKING,-18.08,Purchase
TXN1192,2026-04-14,2,1,SQ*STARBUCKS COFFEE,-4.39,Purchase
TXN1159,2026-04-14,1,29,FEDLOAN SERVICING,-210.0,Payment
TXN1160,2026-04-15,1,33,CHIPOTLE ONLINE 141,-12.9,Purchase
TXN1197,2026-04-16,2,22,PARKWHIZ *PARKING,-17.71,Purchase
TXN1176,2026-04-16,1,15,CHICK-FIL-A #145,-9.3,Purchase
TXN1155,2026-04-17,2,36,METRO WATER 764,-44.95,Payment
TXN1165,2026-04-17,1,16,WHOLE FOODS MARKET,-61.74,Purchase
TXN1199,2026-04-17,1,44,BEST BUY #571,-82.32,Purchase
TXN1150,2026-04-18,1,38,ANYTIME FITNESS #594,-39.99,Payment
TXN1193,2026-04-19,1,1,SQ *STARBUCKS #688 SEATTLE WA,-5.22,Purchase
TXN1210,2026-04-19,1,17,ACME CORP DIRECT DEP,2098.92,Deposit
TXN1153,2026-04-19,2,39,YOUTUBEPREMIUM,-13.99,Payment
TXN1185,2026-04-19,1,34,AUTOZONE #500,-83.13,Purchase
TXN1454,2026-04-20,1,45,MARRIOTT 688,-540.0,Purchase
TXN1162,2026-04-20,2,33,CHIPOTLE ONLINE 298,-14.44,Purchase
TXN1184,2026-04-20,1,30,UBER EATS 583,-20.46,Purchase
TXN1170,2026-04-21,1,16,WHOLE FOODS MARKET,-134.6,Purchase
TXN1171,2026-04-21,2,16,WHOLE FOODS MARKET,-81.22,Purchase
TXN1205,2026-04-21,2,6,TRADER JOES 311,-104.91,Purchase
TXN1208,2026-04-21,1,23,CHEVRON 795,-56.16,Purchase
TXN1187,2026-04-21,1,14,MCDONALD'S F854,-11.04,Purchase
TXN1178,2026-04-21,2,15,CHICKFILA 932,-11.43,Purchase
TXN1146,2026-04-21,1,40,NETFLIX.COM,-15.49,Payment
TXN1182,2026-04-22,1,23,CHEVRON/TEXACO 402,-53.23,Purchase
TXN1181,2026-04-23,2,44,BESTBUY.COM 828,-340.85,Purchase
TXN1179,2026-04-24,2,2,SHELL OIL 484,-57.4,Purchase
TXN1161,2026-04-24,1,7,DOORDASH*870,-32.08,Purchase
TXN1198,2026-04-24,2,31,NIKE.COM 480,-49.91,Purchase
TXN1207,2026-04-24,2,16,WHOLEFDS MKT #973,-78.47,Purchase
TXN1190,2026-04-25,2,33,CHIPOTLE MEXICAN GRILL,-13.86,Purchase
TXN1202,2026-04-25,1,16,WHOLEFDS MKT #840,-108.32,Purchase
TXN1169,2026-04-25,2,30,UBER *EATS,-16.2,Purchase
TXN1206,2026-04-26,2,30,UBER *EATS,-25.79,Purchase
TXN1163,2026-04-26,2,37,AMAZON.COM*167 AMZN.COM/BILL WA,-40.56,Purchase
TXN1196,2026-04-27,1,14,MCDONALD'S F610,-7.77,Purchase
TXN1195,2026-04-27,2,23,CHEVRON/TEXACO 706,-33.9,Purchase
TXN1149,2026-04-27,2,43,ADOBE CREATIVE CL,-54.99,Payment
TXN1167,2026-04-28,2,1,STARBUCKS #668,-5.87,Purchase
TXN1211,2026-04-28,1,35,VENMO   TRANSFER IN,82.19,Transfer
TXN1270,2026-05-01,1,15,CHICK-FIL-A #991,-8.03,Purchase
TXN1274,2026-05-02,1,17,ACME CORP PAYROLL DEP,2069.69,Deposit
TXN1218,2026-05-02,2,4,SPOTIFY USA,-11.99,Payment
TXN1225,2026-05-02,2,5,PACIFIC PWR ELEC BILL,-146.56,Payment
TXN1228,2026-05-02,2,3,VZWRLSS*902,-85.0,Payment
TXN1229,2026-05-03,1,8,STATE FARM INS,-120.0,Payment
TXN1219,2026-05-03,2,10,PRIME VIDEO CHANNELS,-14.99,Payment
TXN1222,2026-05-04,2,12,APPLE.COM/BILL,-2.99,Payment
TXN1238,2026-05-05,2,15,CHICKFILA 740,-7.53,Purchase
TXN1251,2026-05-05,1,15,CHICKFILA 104,-12.42,Purchase
TXN1215,2026-05-05,1,13,RENTERSINS CO 859,-18.4,Payment
TXN1272,2026-05-06,2,7,DOORDASH*152,-28.28,Purchase
TXN1235,2026-05-06,2,16,WHOLEFDS MKT #264,-91.95,Purchase
TXN1252,2026-05-07,2,11,WAL-MART #583,-106.3,Purchase
TXN1267,2026-05-07,2,28,LYFT *RIDE 285,-13.23,Purchase
TXN1227,2026-05-07,1,18,XFINITY 974,-79.99,Payment
TXN1265,2026-05-09,2,6,TRADER JOE S #910,-78.91,Purchase
TXN1258,2026-05-09,1,22,PARKWHIZ 399,-17.66,Purchase
TXN1242,2026-05-10,2,7,DOORDASH*903,-21.14,Purchase
TXN1236,2026-05-10,1,15,CHICKFILA 536,-14.18,Purchase
TXN1214,2026-05-11,2,21,SKYLINE APARTMENTS RENT,-1450.0,Payment
TXN1239,2026-05-11,2,2,SHELL OIL 390,-46.61,Purchase
TXN1223,2026-05-12,1,24,DISNEYPLUS.COM,-13.99,Payment
TXN1231,2026-05-12,1,22,PARKWHIZ *PARKING,-17.67,Purchase
TXN1266,2026-05-12,2,26,UBER   TRIP 507,-26.58,Purchase
TXN1216,2026-05-13,2,25,CITY TRANSIT AUTHORITY,-60.0,Payment
TXN1230,2026-05-14,1,29,FEDLOAN SERVICING,-210.0,Payment
TXN1260,2026-05-14,2,7,DOORDASH*485,-45.33,Purchase
TXN1248,2026-05-14,1,7,DOORDASH*609,-33.64,Purchase
TXN1271,2026-05-14,2,22,PARKWHIZ 885,-7.01,Purchase
TXN1233,2026-05-15,2,34,AUTOZONE #668,-66.68,Purchase
TXN1254,2026-05-16,1,26,UBER *TRIP HELP.UBER.COM,-19.16,Purchase
TXN1244,2026-05-16,1,37,AMAZON.COM*907 AMZN.COM/BILL WA,-117.3,Purchase
TXN1234,2026-05-16,1,32,TARGET      #595,-81.63,Purchase
TXN1226,2026-05-17,2,36,METRO WATER 538,-38.29,Payment
TXN1243,2026-05-18,1,44,BESTBUY.COM 407,-217.3,Purchase
TXN1221,2026-05-18,1,38,ANYTIME FITNESS #895,-39.99,Payment
TXN1224,2026-05-19,2,39,GOOGLE *YOUTUBE PREM,-13.99,Payment
TXN1275,2026-05-19,1,17,ACME CORP PAYROLL DEP,2042.77,Deposit
TXN1245,2026-05-20,2,23,CHEVRON 317,-56.04,Purchase
TXN1237,2026-05-21,1,30,UBER *EATS,-14.77,Purchase
TXN1217,2026-05-21,2,40,NETFLIX.COM   LOS GATOS CA,-15.49,Payment
TXN1269,2026-05-21,1,33,CHIPOTLE ONLINE 259,-12.63,Purchase
TXN1250,2026-05-22,1,46,UDEMY.COM 888,-83.63,Purchase
TXN1246,2026-05-22,1,14,MCDONALD'S F531,-7.51,Purchase
TXN1255,2026-05-22,2,44,BEST BUY #498,-298.81,Purchase
TXN1249,2026-05-23,2,19,LOCAL DINER #168,-27.58,Purchase
TXN1253,2026-05-24,1,16,WHOLEFDS MKT #474,-112.42,Purchase
TXN1268,2026-05-25,2,30,UBER *EATS,-27.96,Purchase
TXN1264,2026-05-25,2,6,TRADER JOE S #416,-89.78,Purchase
TXN1257,2026-05-26,2,14,MCDONALD'S F744,-7.01,Purchase
TXN1259,2026-05-26,1,2,SHELL SERVICE STATION,-58.96,Purchase
TXN1263,2026-05-26,2,32,TARGET.COM *455,-88.48,Purchase
TXN1247,2026-05-26,1,37,AMZN MKTP US*983,-65.52,Purchase
TXN1232,2026-05-26,1,44,BESTBUY.COM 302,-238.26,Purchase
TXN1261,2026-05-26,2,44,BEST BUY #429,-176.18,Purchase
TXN1220,2026-05-27,2,43,ADOBE  *CREATIVE CLOUD,-54.99,Payment
TXN1262,2026-05-27,1,28,LYFT *RIDE 395,-23.91,Purchase
TXN1240,2026-05-27,2,26,UBER *TRIP HELP.UBER.COM,-15.08,Purchase
TXN1241,2026-05-28,1,41,ENTERPRISE RENT-A-CAR,-138.56,Purchase
TXN1273,2026-05-28,1,19,THE LOCAL DINER,-27.42,Purchase
TXN1256,2026-05-28,2,14,MCDONALD'S F423,-12.61,Purchase
TXN1339,2026-06-01,1,17,ACME CORP DIRECT DEP,2059.78,Deposit
TXN1332,2026-06-01,2,20,OLDNAVY.COM,-23.42,Purchase
TXN1290,2026-06-02,1,3,VZWRLSS*567,-85.0,Payment
TXN1315,2026-06-02,1,37,AMZN MKTP US*794,-17.95,Purchase
TXN1280,2026-06-02,2,4,SPOTIFY USA,-11.99,Payment
TXN1287,2026-06-02,1,5,PACIFIC PWR ELEC BILL,-91.89,Payment
TXN1291,2026-06-03,2,8,STATE FARM INS,-120.0,Payment
TXN1334,2026-06-03,2,1,SQ *STARBUCKS #519 SEATTLE WA,-6.61,Purchase
TXN1281,2026-06-03,2,10,PRIME VIDEO CHANNELS,-14.99,Payment
TXN1317,2026-06-04,1,2,SHELL SERVICE STATION,-32.11,Purchase
TXN1327,2026-06-04,1,26,UBER   TRIP 527,-20.05,Purchase
TXN1284,2026-06-04,1,12,APPLE.COM/BILL,-2.99,Payment
TXN1330,2026-06-05,1,7,DD *DOORDASH,-29.92,Purchase
TXN1294,2026-06-05,1,45,MARRIOTT 552,-414.02,Purchase
TXN1335,2026-06-05,2,31,NIKE STORE #598,-141.18,Purchase
TXN1277,2026-06-05,2,13,RENTERS INS PREMIUM,-18.4,Payment
TXN1296,2026-06-05,1,26,UBER   TRIP 828,-28.27,Purchase
TXN1301,2026-06-06,2,16,WHOLE FOODS MARKET,-94.31,Purchase
TXN1289,2026-06-07,2,18,XFINITY 442,-79.99,Payment
TXN1309,2026-06-08,1,6,TRADER JOES 864,-43.78,Purchase
TXN1293,2026-06-08,1,27,COURSERA.ORG,-49.0,Purchase
TXN1318,2026-06-10,1,15,CHICKFILA 380,-14.8,Purchase
TXN1337,2026-06-10,2,33,CHIPOTLE ONLINE 771,-12.96,Purchase
TXN1312,2026-06-11,2,26,UBER   TRIP 432,-27.6,Purchase
TXN1276,2026-06-11,2,21,SKYLINE APT PAYMENT,-1450.0,Payment
TXN1285,2026-06-12,1,24,DISNEY PLUS,-13.99,Payment
TXN1311,2026-06-12,2,1,SQ *STARBUCKS #958 SEATTLE WA,-5.77,Purchase
TXN1302,2026-06-12,1,11,WALMART.COM 628,-69.58,Purchase
TXN1278,2026-06-13,1,25,CTA MONTHLY PASS,-60.0,Payment
TXN1341,2026-06-13,1,42,POS PURCHASE,-17.11,Purchase
TXN1338,2026-06-14,1,46,UDEMY.COM 935,-58.8,Purchase
TXN1292,2026-06-14,2,29,FED STUDENT LOAN SVC,-210.0,Payment
TXN1319,2026-06-15,1,16,WHOLEFDS MKT #765,-99.0,Purchase
TXN1328,2026-06-15,2,19,LOCAL DINER #399,-16.54,Purchase
TXN1300,2026-06-16,1,2,SHELL SERVICE STATION,-33.16,Purchase
TXN1288,2026-06-17,2,36,METRO WATER UTIL,-41.13,Payment
TXN1316,2026-06-17,1,16,WHOLEFDS MKT #140,-39.37,Purchase
TXN1295,2026-06-17,2,22,PARKWHIZ 545,-9.94,Purchase
TXN1321,2026-06-17,1,6,TRADER JOES 112,-75.67,Purchase
TXN1320,2026-06-18,1,30,UBER EATS 580,-22.2,Purchase
TXN1283,2026-06-18,1,38,ANYTIME FITNESS #918,-39.99,Payment
TXN1323,2026-06-18,2,1,STARBUCKS #550,-4.55,Purchase
TXN1322,2026-06-18,2,16,WHOLE FOODS MARKET,-70.55,Purchase
TXN1336,2026-06-19,2,44,BEST BUY #274,-140.0,Purchase
TXN1286,2026-06-19,2,39,GOOGLE *YOUTUBE PREM,-13.99,Payment
TXN1305,2026-06-20,1,33,CHIPOTLE ONLINE 419,-10.73,Purchase
TXN1297,2026-06-20,1,32,TARGET.COM *279,-111.36,Purchase
TXN1329,2026-06-21,2,28,LYFT   RIDE TUE,-15.35,Purchase
TXN1313,2026-06-21,1,19,THE LOCAL DINER,-11.7,Purchase
TXN1310,2026-06-21,2,1,STARBUCKS #711,-6.0,Purchase
TXN1326,2026-06-21,1,2,SHELL OIL 522,-62.01,Purchase
TXN1279,2026-06-21,2,40,NETFLIX.COM,-15.49,Payment
TXN1333,2026-06-22,2,15,CHICKFILA 466,-10.8,Purchase
TXN1325,2026-06-22,2,7,DD *DOORDASH,-23.27,Purchase
TXN1314,2026-06-22,2,6,TRADER JOE S #530,-33.67,Purchase
TXN1306,2026-06-24,1,31,NIKE.COM 957,-62.43,Purchase
TXN1304,2026-06-24,1,33,CHIPOTLE ONLINE 643,-12.84,Purchase
TXN1324,2026-06-25,2,30,UBER *EATS,-16.95,Purchase
TXN1340,2026-06-25,1,17,ACME CORP DIRECT DEP,1981.5,Deposit
TXN1308,2026-06-25,1,28,LYFT *RIDE 224,-14.52,Purchase
TXN1298,2026-06-26,1,34,AUTOZONE INC,-29.8,Purchase
TXN1282,2026-06-27,1,43,ADOBE  *CREATIVE CLOUD,-54.99,Payment
TXN1299,2026-06-27,2,15,CHICK-FIL-A #630,-13.2,Purchase
TXN1303,2026-06-27,1,16,WHOLE FOODS MARKET,-124.55,Purchase
TXN1331,2026-06-27,2,7,DOORDASH*433,-34.83,Purchase
TXN1307,2026-06-28,1,33,CHIPOTLE ONLINE 146,-10.13,Purchase
TXN1364,2026-07-01,2,22,PARKWHIZ *PARKING,-15.69,Purchase
TXN1394,2026-07-01,1,34,AUTOZONE INC,-17.47,Purchase
TXN1356,2026-07-02,1,3,VZWRLSS*443,-85.0,Payment
TXN1353,2026-07-02,1,42,PACIFIC POWER 996,-98.73,Payment
TXN1455,2026-07-02,1,37,AMZN MKTP US*166,-340.0,Purchase
TXN1346,2026-07-02,1,4,SPOTIFY USA,-11.99,Payment
TXN1357,2026-07-03,1,8,STATEFARM 945,-120.0,Payment
TXN1347,2026-07-03,2,10,PRIME VIDEO CHANNELS,-14.99,Payment
TXN1402,2026-07-04,1,16,WHOLE FOODS MARKET,-56.75,Purchase
TXN1350,2026-07-04,2,12,APPLE.COM/BILL,-2.99,Payment
TXN1343,2026-07-05,1,13,RENTERS INS PREMIUM,-18.4,Payment
